成交小区,成交价（万元）,成交楼层,单价每平（元）,朝向,成交时间
毛纺厂宿舍 2室1厅 55.1平米,44,高楼层(共4层) 暂无数据,7883,南北|简装,2021.03.12
,,,,,
万和·九龙湖 5室2厅 261.73平米,224,低楼层(共14层) 板楼,8544,南|毛坯,2021.03.11
,,,,,
抗建路31号 2室1厅 66.9平米,40,高楼层(共6层) 板楼,5980,西南|简装,2021.03.11
,,,,,
现代城 3室2厅 110.45平米,91,低楼层(共6层) 板塔结合,8221,南|简装,2021.03.11
,,,,,
御景天下 3室2厅 116平米,105,低楼层(共18层) 板楼,9052,南|毛坯,2021.03.11
,,,,,
花郡 3室2厅 100平米,97,高楼层(共24层) 板楼,9650,南|精装,2021.03.11
,,,,,
中航城波波里花园 2室2厅 90.65平米,73,高楼层(共21层) 板楼,8053,南|毛坯,2021.03.11
,,,,,
天一尊邸 4室2厅 131.13平米,87,中楼层(共24层) 板楼,6593,南北|毛坯,2021.03.11
,,,,,
天集信江明珠 3室2厅 128.7平米,137,中楼层(共11层) 暂无数据,10630,南北|毛坯,2021.03.10
,,,,,
蓝山国际 2室2厅 89.08平米,84,高楼层(共18层) 板楼,9430,南|其他,2021.03.10
,,,,,
上层时代 2室2厅 102平米,72,中楼层(共18层) 塔楼,7059,南|简装,2021.03.10
,,,,,
五三大道30号 4室2厅 118平米,86,高楼层(共5层) 暂无数据,7272,东南|简装,2021.03.10
,,,,,
地委大院 2室1厅 70.51平米,74,中楼层(共7层) 板楼,10495,南|简装,2021.03.10
,,,,,
公园道1号 3室2厅 114平米,113,中楼层(共18层) 板楼,9857,南|精装,2021.03.10
,,,,,
东达紫阳城 2室2厅 87.15平米,81,高楼层(共17层) 板楼,9214,南|毛坯,2021.03.10
,,,,,
亿豪星城 4室2厅 116.62平米,117,高楼层(共25层) 板楼,10033,南|精装,2021.03.10
,,,,,
水南街409号 3室2厅 116.82平米,62,中楼层(共7层) 板楼,5274,南|精装,2021.03.10
,,,,,
永隆城市广场 3室2厅 130平米,99,中楼层(共12层) 板楼,7616,南|简装,2021.03.09
,,,,,
